SalesOrderNumber,Date,Customer,Territory,Country,Region,Product,Subcategory,Category,Cost,Quantity,Price,Tax
SO74908,2021-01-21,Ian Jenkins,North America,United States,Northwest,HL Mountain Tire,Tires and Tubes,Accessories,13.09,21,35.00,2.80
SO74908,2021-01-21,Ian Jenkins,North America,United States,Northwest,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,21,4.99,0.40
SO74908,2021-01-21,Ian Jenkins,North America,United States,Northwest,"Sport-100 Helmet, Blue",Helmets,Accessories,13.09,21,34.99,2.80
SO74561,2021-01-11,Luke Lal,North America,Canada,Canada,Hitch Rack - 4-Bike,Bike Racks,Accessories,44.88,11,120.00,9.60
SO74593,2021-01-12,Luke Lal,North America,Canada,Canada,Touring Tire Tube,Tires and Tubes,Accessories,1.87,12,4.99,0.40
SO74593,2021-01-12,Luke Lal,North America,Canada,Canada,"Sport-100 Helmet, Blue",Helmets,Accessories,13.09,12,34.99,2.80
SO74593,2021-01-12,Luke Lal,North America,Canada,Canada,"Half-Finger Gloves, L",Gloves,Clothing,9.16,12,24.49,1.96
SO74658,2021-01-14,Seth Edwards,North America,United States,Southwest,Road Tire Tube,Tires and Tubes,Accessories,1.49,14,3.99,0.32
SO74658,2021-01-14,Seth Edwards,North America,United States,Southwest,Patch Kit/8 Patches,Tires and Tubes,Accessories,0.86,14,2.29,0.18
SO74253,2021-01-01,Daniel Johnson,Pacific,Australia,Australia,LL Mountain Tire,Tires and Tubes,Accessories,9.35,1,24.99,2.00
SO74253,2021-01-01,Daniel Johnson,Pacific,Australia,Australia,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,1,4.99,0.40
SO74253,2021-01-01,Daniel Johnson,Pacific,Australia,Australia,"Sport-100 Helmet, Blue",Helmets,Accessories,13.09,1,34.99,2.80
SO74538,2021-01-10,Jessica Henderson,North America,United States,Southwest,Road Tire Tube,Tires and Tubes,Accessories,1.49,10,3.99,0.32
SO74538,2021-01-10,Jessica Henderson,North America,United States,Southwest,Patch Kit/8 Patches,Tires and Tubes,Accessories,0.86,10,2.29,0.18
SO74615,2021-01-12,Caleb Carter,North America,United States,Northwest,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,12,4.99,0.40
SO74615,2021-01-12,Caleb Carter,North America,United States,Northwest,HL Mountain Tire,Tires and Tubes,Accessories,13.09,12,35.00,2.80
SO74615,2021-01-12,Caleb Carter,North America,United States,Northwest,"Sport-100 Helmet, Blue",Helmets,Accessories,13.09,12,34.99,2.80
SO74615,2021-01-12,Caleb Carter,North America,United States,Northwest,"Half-Finger Gloves, S",Gloves,Clothing,9.16,12,24.49,1.96
SO75084,2021-01-28,Gina Martin,North America,Canada,Canada,Hitch Rack - 4-Bike,Bike Racks,Accessories,44.88,28,120.00,9.60
SO74254,2021-01-01,Donald Gonzalez,Pacific,Australia,Australia,LL Mountain Tire,Tires and Tubes,Accessories,9.35,1,24.99,2.00
SO74479,2021-01-08,Emily Johnson,North America,United States,Southwest,Road Tire Tube,Tires and Tubes,Accessories,1.49,8,3.99,0.32
SO74479,2021-01-08,Emily Johnson,North America,United States,Southwest,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,38.49,8,49.99,4.00
SO74480,2021-01-08,Dalton Perez,North America,Canada,Canada,ML Road Tire,Tires and Tubes,Accessories,9.35,8,24.99,2.00
SO74480,2021-01-08,Dalton Perez,North America,Canada,Canada,Road Tire Tube,Tires and Tubes,Accessories,1.49,8,3.99,0.32
SO74373,2021-01-05,Dalton Perez,North America,Canada,Canada,"Sport-100 Helmet, Red",Helmets,Accessories,13.09,5,34.99,2.80
SO74557,2021-01-11,Cedric Ma,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,11,9.99,0.80
SO74557,2021-01-11,Cedric Ma,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,11,4.99,0.40
SO74557,2021-01-11,Cedric Ma,Pacific,Australia,Australia,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,41.57,11,53.99,4.32
SO74557,2021-01-11,Cedric Ma,Pacific,Australia,Australia,AWC Logo Cap,Caps,Clothing,6.92,11,8.99,0.72
SO74279,2021-01-02,Alvin Cai,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,2,4.99,0.40
SO74279,2021-01-02,Alvin Cai,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,2,9.99,0.80
SO74279,2021-01-02,Alvin Cai,Pacific,Australia,Australia,"Classic Vest, L",Vests,Clothing,23.75,2,63.50,5.08
SO75034,2021-01-26,Alvin Zeng,Pacific,Australia,Australia,Bike Wash - Dissolver,Cleaners,Accessories,2.97,26,7.95,0.64
SO75001,2021-01-25,Philip Alvarez,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,25,9.99,0.80
SO75001,2021-01-25,Philip Alvarez,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,25,4.99,0.40
SO75001,2021-01-25,Philip Alvarez,Pacific,Australia,Australia,"Sport-100 Helmet, Black",Helmets,Accessories,13.09,25,34.99,2.80
SO75001,2021-01-25,Philip Alvarez,Pacific,Australia,Australia,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,41.57,25,53.99,4.32
SO74941,2021-01-23,Amanda Rivera,North America,Canada,Canada,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,38.49,23,49.99,4.00
SO74843,2021-01-20,Jasmine Taylor,North America,United States,Northwest,Road Tire Tube,Tires and Tubes,Accessories,1.49,20,3.99,0.32
SO74843,2021-01-20,Jasmine Taylor,North America,United States,Northwest,Patch Kit/8 Patches,Tires and Tubes,Accessories,0.86,20,2.29,0.18
SO74272,2021-01-01,Eduardo Patterson,North America,Canada,Canada,HL Mountain Tire,Tires and Tubes,Accessories,13.09,1,35.00,2.80
SO74272,2021-01-01,Eduardo Patterson,North America,Canada,Canada,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,1,4.99,0.40
SO74272,2021-01-01,Eduardo Patterson,North America,Canada,Canada,"Sport-100 Helmet, Red",Helmets,Accessories,13.09,1,34.99,2.80
SO74625,2021-01-13,Eduardo Patterson,North America,Canada,Canada,Road Tire Tube,Tires and Tubes,Accessories,1.49,13,3.99,0.32
SO74625,2021-01-13,Eduardo Patterson,North America,Canada,Canada,"Sport-100 Helmet, Black",Helmets,Accessories,13.09,13,34.99,2.80
SO74581,2021-01-11,Gabrielle Adams,North America,United States,Northwest,Mountain Tire Tube,Tires and Tubes,Accessories,1.87,11,4.99,0.40
SO74581,2021-01-11,Gabrielle Adams,North America,United States,Northwest,HL Mountain Tire,Tires and Tubes,Accessories,13.09,11,35.00,2.80
