SalesOrderNumber,Date,Customer,Territory,Country,Region,Product,Subcategory,Category,Cost,Quantity,Price,Tax
SO51238,2019-12-31,Ruben Torres,Pacific,Australia,Australia,"Mountain-200 Black, 38",Mountain Bikes,Bikes,1251.98,31,2294.99,183.60
SO51198,2019-12-29,Janet Alvarez,Pacific,Australia,Australia,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,1265.62,29,2319.99,185.60
SO51198,2019-12-29,Janet Alvarez,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,29,9.99,0.80
SO51198,2019-12-29,Janet Alvarez,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,29,4.99,0.40
SO51193,2019-12-29,Jordan King,North America,Canada,Canada,"Mountain-200 Black, 46",Mountain Bikes,Bikes,1251.98,29,2294.99,183.60
SO51193,2019-12-29,Jordan King,North America,Canada,Canada,Fender Set - Mountain,Fenders,Accessories,8.22,29,21.98,1.76
SO51237,2019-12-31,Todd Gao,Pacific,Australia,Australia,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,1265.62,31,2319.99,185.60
SO51237,2019-12-31,Todd Gao,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,31,9.99,0.80
SO51237,2019-12-31,Todd Gao,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,31,4.99,0.40
SO51237,2019-12-31,Todd Gao,Pacific,Australia,Australia,"Sport-100 Helmet, Red",Helmets,Accessories,13.09,31,34.99,2.80
SO51239,2019-12-31,Blake Anderson,Pacific,Australia,Australia,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,1265.62,31,2319.99,185.60
SO51239,2019-12-31,Blake Anderson,Pacific,Australia,Australia,Hydration Pack - 70 oz.,Hydration Packs,Accessories,20.57,31,54.99,4.40
SO51194,2019-12-29,Abigail Price,North America,United States,Southwest,"Mountain-200 Black, 46",Mountain Bikes,Bikes,1251.98,29,2294.99,183.60
SO51194,2019-12-29,Abigail Price,North America,United States,Southwest,Fender Set - Mountain,Fenders,Accessories,8.22,29,21.98,1.76
SO51194,2019-12-29,Abigail Price,North America,United States,Southwest,"Sport-100 Helmet, Black",Helmets,Accessories,13.09,29,34.99,2.80
SO51235,2019-12-31,Candace Fernandez,Pacific,Australia,Australia,"Mountain-200 Black, 42",Mountain Bikes,Bikes,1251.98,31,2294.99,183.60
SO51236,2019-12-31,Jessie Liu,Pacific,Australia,Australia,"Mountain-200 Black, 38",Mountain Bikes,Bikes,1251.98,31,2294.99,183.60
SO51215,2019-12-30,Kari Alvarez,Pacific,Australia,Australia,"Mountain-200 Black, 42",Mountain Bikes,Bikes,1251.98,30,2294.99,183.60
SO51215,2019-12-30,Kari Alvarez,Pacific,Australia,Australia,HL Mountain Tire,Tires and Tubes,Accessories,13.09,30,35.00,2.80
SO51216,2019-12-30,April Deng,Pacific,Australia,Australia,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,1265.62,30,2319.99,185.60
SO51216,2019-12-30,April Deng,Pacific,Australia,Australia,Fender Set - Mountain,Fenders,Accessories,8.22,30,21.98,1.76
SO51216,2019-12-30,April Deng,Pacific,Australia,Australia,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,30,9.99,0.80
SO51216,2019-12-30,April Deng,Pacific,Australia,Australia,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,30,4.99,0.40
SO51216,2019-12-30,April Deng,Pacific,Australia,Australia,AWC Logo Cap,Caps,Clothing,6.92,30,8.99,0.72
SO51205,2019-12-30,Anne Hernandez,Europe,United Kingdom,United Kingdom,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,1265.62,30,2319.99,185.60
SO51205,2019-12-30,Anne Hernandez,Europe,United Kingdom,United Kingdom,Mountain Bottle Cage,Bottles and Cages,Accessories,3.74,30,9.99,0.80
SO51205,2019-12-30,Anne Hernandez,Europe,United Kingdom,United Kingdom,Water Bottle - 30 oz.,Bottles and Cages,Accessories,1.87,30,4.99,0.40
SO51205,2019-12-30,Anne Hernandez,Europe,United Kingdom,United Kingdom,"Sport-100 Helmet, Blue",Helmets,Accessories,13.09,30,34.99,2.80
SO51192,2019-12-29,Lisa Cai,Europe,France,France,"Mountain-200 Black, 46",Mountain Bikes,Bikes,1251.98,29,2294.99,183.60
SO51192,2019-12-29,Lisa Cai,Europe,France,France,"Sport-100 Helmet, Red",Helmets,Accessories,13.09,29,34.99,2.80
